all,ASPM_77,OPSNET_45,Core
Facility,Facility,Facility,Facility
ABE,ABQ,ABQ,ATL
ABI,ANC,ATL,BOS
ABQ,ATL,BNA,BWI
ABY,AUS,BOS,CLT
ACK,BDL,BWI,DCA
ACT,BHM,CLE,DEN
ACY,BNA,CLT,DFW
ADM,BOS,CVG,DTW
ADQ,BUF,DCA,EWR
ADS,BUR,DEN,FLL
ADW,BWI,DFW,HNL
AEG,CLE,DTW,IAD
AEX,CLT,EWR,IAH
AFW,CVG,FLL,JFK
AGC,DAL,HOU,LAS
AGS,DAY,IAD,LAX
AHN,DCA,IAH,LGA
AKN,DEN,IND,MCO
ALB,DFW,JFK,MDW
ALN,DTW,LAS,MEM
ALO,EWR,LAX,MIA
ALW,FLL,LGA,MSP
AMA,GYY,MCI,ORD
ANC,HNL,MCO,PHL
ANE,HOU,MDW,PHX
APA,HPN,MEM,SAN
APC,IAD,MIA,SEA
APF,IAH,MSP,SFO
ARA,IND,MSY,SLC
ARB,ISP,OAK,TPA
ARR,JAX,ORD,Total:
ASE,JFK,PBI,none
ASG,LAS,PDX,none
ASH,LAX,PHL,none
ATL,LGA,PHX,none
ATW,LGB,PIT,none
AUS,MCI,RDU,none
AVL,MCO,SAN,none
AVP,MDW,SEA,none
AZO,MEM,SFO,none
BAF,MHT,SJC,none
BAK,MIA,SLC,none
BAZ,MKE,STL,none
BBG,MSP,TEB,none
BCT,MSY,TPA,none
BDL,OAK,Total:,none
BDR,OGG,none,none
BED,OMA,none,none
BET,ONT,none,none
BFI,ORD,none,none
BFL,OXR,none,none
BFM,PBI,none,none
BGM,PDX,none,none
BGR,PHL,none,none
BHM,PHX,none,none
BIL,PIT,none,none
BIS,PSP,none,none
BJC,PVD,none,none
BKL,RDU,none,none
BKV,RFD,none,none
BLI,RSW,none,none
BMG,SAN,none,none
BMI,SAT,none,none
BNA,SDF,none,none
BOI,SEA,none,none
BOS,SFO,none,none
BPT,SJC,none,none
BQN,SJU,none,none
BRO,SLC,none,none
BTL,SMF,none,none
BTR,SNA,none,none
BTV,STL,none,none
BUF,SWF,none,none
BUR,TEB,none,none
BVY,TPA,none,none
BWI,TUS,none,none
BZN,VNY,none,none
CAE,Total:,none,none
CAK,none,none,none
CCR,none,none,none
CDW,none,none,none
CGF,none,none,none
CHA,none,none,none
CHD,none,none,none
CHO,none,none,none
CHS,none,none,none
CIC,none,none,none
CID,none,none,none
CKB,none,none,none
CLE,none,none,none
CLL,none,none,none
CLT,none,none,none
CMA,none,none,none
CMH,none,none,none
CMI,none,none,none
CNO,none,none,none
CNW,none,none,none
COS,none,none,none
COU,none,none,none
CPR,none,none,none
CPS,none,none,none
CRE,none,none,none
CRG,none,none,none
CRP,none,none,none
CRQ,none,none,none
CRW,none,none,none
CSG,none,none,none
CVG,none,none,none
CWA,none,none,none
CWF,none,none,none
CXO,none,none,none
CXY,none,none,none
CYS,none,none,none
